Wall time,Step,Value
1721126487.5678463,2265088,-220.21932983398438
1721126578.2140682,2275328,-220.23104858398438
1721126668.1599245,2285568,-232.41555786132812
1721126758.318237,2295808,-240.23081970214844
1721126851.3108199,2306048,-240.24655151367188
1721126942.4648595,2316288,-230.2769012451172
1721127038.1227295,2326528,-230.27142333984375
1721127134.2921717,2336768,-240.26962280273438
1721127225.4816835,2347008,-240.27670288085938
1721127319.5486698,2357248,-220.26638793945312
1721127413.2881882,2367488,-152.1861572265625
1721127503.610112,2377728,-162.251953125
1721127593.9374743,2387968,-150.2740478515625
1721127685.754453,2398208,-199.6370086669922
1721127775.7019315,2408448,-140.2529296875
1721127866.2337418,2418688,-150.23545837402344
1721127959.2000089,2428928,-142.22084045410156
1721128048.1382315,2439168,-140.2183074951172
1721128139.2228549,2449408,-220.22482299804688
1721128230.0448842,2459648,-210.22235107421875
1721128324.4234858,2469888,-219.24916076660156
1721128415.4145741,2480128,-212.39602661132812
1721128511.906758,2490368,-206.66188049316406
1721128604.6912694,2500608,-200.22254943847656
1721128706.7643373,2510848,-197.4995880126953
1721128807.7369626,2521088,-190.17543029785156
1721128905.414221,2531328,-190.24484252929688
1721129001.4784915,2541568,-162.3774871826172
1721129100.683588,2551808,-190.1646728515625
1721129199.8316429,2562048,-160.22103881835938
1721129301.1776395,2572288,-195.5532989501953
1721129406.8432977,2582528,-166.1063690185547
1721129512.777743,2592768,-117.39251708984375
1721129624.4774861,2603008,-165.5037841796875
1721129746.2018461,2613248,-170.18893432617188
1721129866.4439342,2623488,-88.44878387451172
1721129991.944561,2633728,-182.33387756347656
1721130122.8560753,2643968,-180.1494903564453
1721130255.2349367,2654208,-192.26071166992188
1721130399.312005,2664448,-200.13021850585938
1721130538.4629934,2674688,-190.13494873046875
1721130675.5054603,2684928,-182.2255401611328
1721130823.3628387,2695168,-180.1466064453125
1721130981.0709522,2705408,-170.11924743652344
1721131138.3862722,2715648,-162.20819091796875
1721131294.6891043,2725888,-162.22645568847656
1721131465.8169923,2736128,-170.18238830566406
1721131638.3876297,2746368,-180.165283203125
1721131818.9075148,2756608,-160.11898803710938
1721132006.7847528,2766848,-160.13223266601562
1721132187.6259263,2777088,-160.15548706054688
1721132378.94417,2787328,-160.1410369873047
1721132588.0262952,2797568,-152.17538452148438
1721132796.835658,2807808,-160.1190948486328
1721132991.1942532,2818048,-159.03396606445312
1721133208.3212633,2828288,-147.43580627441406
1721133413.9891834,2838528,-141.70156860351562
1721133610.5731676,2848768,-140.11026000976562
1721133826.5643897,2859008,-139.61776733398438
1721134051.1464097,2869248,-140.47422790527344
1721134274.6508737,2879488,-145.38754272460938
1721134499.0835423,2889728,-149.667724609375
1721134731.2332687,2899968,-133.9932098388672
1721134997.2561033,2910208,-121.2922592163086
1721135263.6418672,2920448,-109.9787826538086
1721135529.7363029,2930688,-105.58586883544922
1721135807.4393232,2940928,-80.62584686279297
1721136089.515458,2951168,-118.07945251464844
1721136374.7919202,2961408,-97.51982116699219
1721136676.5127838,2971648,-96.80575561523438
1721136971.3450606,2981888,-115.77397155761719
1721137279.1519573,2992128,-124.80196380615234
1721137586.3067515,3002368,-110.59712219238281
1721137921.343039,3012608,-118.68023681640625
1721138252.1000674,3022848,-116.04466247558594
1721138613.199286,3033088,-112.88607788085938
1721138997.3796742,3043328,-114.67316436767578
1721139403.7249916,3053568,-107.50936889648438
1721139814.495783,3063808,-106.11761474609375
1721140232.0918365,3074048,-108.92916107177734
1721140675.92193,3084288,-91.13536071777344
1721141121.521834,3094528,-93.2342300415039
1721141602.0404615,3104768,-111.18424987792969
1721142080.061799,3115008,-105.48101806640625
1721142536.9332998,3125248,-110.27174377441406
1721142995.1037958,3135488,-120.15446472167969
1721143446.9690733,3145728,-114.08777618408203
1721143913.655188,3155968,-112.38582611083984
1721144373.4805474,3166208,-106.40408325195312
1721144829.380047,3176448,-109.10623931884766
1721145311.897055,3186688,-101.16398620605469
1721145785.1270764,3196928,-106.08491516113281
1721146271.860362,3207168,-96.46783447265625
1721146778.6708622,3217408,-100.82015228271484
1721147275.5178382,3227648,-93.13489532470703
1721147827.2423525,3237888,-98.66645050048828
1721148400.6617868,3248128,-90.39636993408203
1721148993.2658334,3258368,-94.36933135986328
1721149572.1309412,3268608,-86.17486572265625
1721150154.785227,3278848,-87.03144836425781
1721150777.1298342,3289088,-81.58191680908203
1721151403.209365,3299328,-78.6810073852539
1721152040.1365318,3309568,-78.38021087646484
1721152655.585357,3319808,-75.30641174316406
1721153263.881276,3330048,-82.19483947753906
1721153873.0720737,3340288,-80.72286987304688
1721154483.0718849,3350528,-77.90438079833984
1721155118.792954,3360768,-77.09451293945312
1721155810.6809132,3371008,-79.24540710449219
1721156521.902169,3381248,-80.03853607177734
1721157229.9088788,3391488,-78.92190551757812
1721157925.6886327,3401728,-80.7916259765625
1721158624.4963858,3411968,-77.55496215820312
1721159378.1027112,3422208,-77.75702667236328
1721160146.8194773,3432448,-69.9740219116211
1721160918.0995495,3442688,-65.39736938476562
1721161745.6020567,3452928,-59.399559020996094
1721162587.2693756,3463168,-73.4599380493164
1721163457.3804474,3473408,-68.45902252197266
1721164322.4898314,3483648,-73.98863220214844
1721165233.933455,3493888,-69.14432525634766
1721166177.793887,3504128,-65.35420989990234
1721167159.0000055,3514368,-65.90289306640625
1721168129.75646,3524608,-59.57054901123047
1721169170.659598,3534848,-61.0521354675293
1721170232.0421093,3545088,-60.83135986328125
1721171311.686597,3555328,-62.993995666503906
1721172399.1171646,3565568,-61.607276916503906
1721173444.6124973,3575808,-64.7844467163086
1721174546.1585329,3586048,-56.71156692504883
1721175728.3469062,3596288,-57.16091537475586
1721177002.7951405,3606528,-46.19976043701172
1721178110.117159,3616768,-60.491607666015625
1721179153.0983834,3627008,-57.841346740722656
1721180169.4239538,3637248,-54.07843017578125
1721181251.6266985,3647488,-48.84272766113281
1721182327.181519,3657728,-44.5
1721183343.2689486,3667968,-40.04715347290039
1721184492.835797,3678208,-41.79308319091797
1721185593.8671105,3688448,-51.26484298706055
1721186730.362634,3698688,-50.83051681518555
1721187904.913648,3708928,-39.01612091064453
1721189077.6496065,3719168,-52.66539001464844
1721190298.833781,3729408,-52.28028869628906
1721191545.0836706,3739648,-48.48701095581055
1721193054.0214415,3749888,-49.414920806884766
1721194610.9457555,3760128,-57.507144927978516
1721196143.4884615,3770368,-58.51064682006836
1721197682.1003108,3780608,-60.64896011352539
1721199377.3768113,3790848,-56.501827239990234
1721201084.5134516,3801088,-47.874019622802734
1721202508.0113337,3811328,-52.81045150756836
1721203975.0355246,3821568,-50.010074615478516
1721205499.6405609,3831808,-46.873619079589844
1721206917.893106,3842048,-47.709468841552734
1721208327.6153367,3852288,-49.96133041381836
1721209787.9563162,3862528,-45.83199691772461
1721211245.8926144,3872768,-40.15325927734375
1721212701.55272,3883008,-42.56486511230469
1721214222.0166786,3893248,-45.043094635009766
1721215882.783461,3903488,-47.059471130371094
1721217425.5529852,3913728,-41.17908477783203
1721218924.5497518,3923968,-39.2861442565918
1721220405.2280674,3934208,-41.101959228515625
1721221878.9332309,3944448,-40.693241119384766
1721223364.2535732,3954688,-38.05766296386719
1721224908.6278956,3964928,-34.859893798828125
1721226475.9681458,3975168,-41.61604690551758
1721228134.8229973,3985408,-36.61326599121094
1721229903.3606534,3995648,-36.12511444091797
1721231541.6640496,4005888,-35.57867431640625
1721233106.8131979,4016128,-35.429710388183594
1721234718.1583717,4026368,-33.713706970214844
1721236490.6129935,4036608,-38.59242248535156
1721238237.9632902,4046848,-37.09059524536133
1721239959.6615064,4057088,-40.278438568115234
1721241717.8209038,4067328,-38.5198974609375
1721243588.7151222,4077568,-37.847015380859375
1721245521.4827547,4087808,-35.70927810668945
1721247526.672627,4098048,-38.78873062133789
1721249642.7576072,4108288,-36.30299758911133
1721251906.1732829,4118528,-33.94648742675781
1721254198.3467135,4128768,-27.265422821044922
1721256635.410224,4139008,-31.906389236450195
1721259185.1737618,4149248,-33.67996597290039
1721261463.7939076,4159488,-35.374141693115234
1721263827.7098439,4169728,-32.90909957885742
1721267022.7888603,4179968,-37.151981353759766
1721270042.8840108,4190208,-33.5867919921875
1721272658.3996916,4200448,-33.51695251464844
1721275244.1674244,4210688,-34.357177734375
1721277911.0135984,4220928,-33.12689971923828
1721280996.773675,4231168,-35.30830764770508
1721283805.1781192,4241408,-31.29775047302246
1721287686.2414672,4251648,-32.23701858520508
1721291894.0926478,4261888,-35.71167755126953
1721296098.9499862,4272128,-36.86142349243164
1721300350.174127,4282368,-33.959442138671875
1721305184.5368068,4292608,-34.44059753417969
